"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"306270","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae",NA,NA
"264560","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae",NA,NA
"137279","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae",NA,NA
"240233","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae",NA,NA
"74988","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales",NA,NA,NA
"168285","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales",NA,NA,NA
"553029","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales",NA,NA,NA
"257017","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales",NA,NA,NA
"551992","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales",NA,NA,NA
"184153","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales",NA,NA,NA
"158398","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales",NA,NA,NA
"265614","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales",NA,NA,NA
"592669","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales",NA,NA,NA
"69916","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosomonas",NA
"6540","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosomonas",NA
"17356","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosomonas",NA
"69852","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosomonas",NA
"29792","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosomonas","Nitrosococcusmobilis"
"141903","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosospira","Nitrosospiramultiformis"
"145637","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA,NA
"137480","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae",NA,NA
"520149","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae",NA,NA
"546063","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae","Gallionella",NA
"576649","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae","Gallionella",NA
"562874","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae","Gallionella",NA
"198458","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae","Gallionella",NA
"540849","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae","Gallionella",NA
"528137","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae","Gallionella",NA
"307219","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae","Gallionella",NA
"143501","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae","Gallionella",NA
"535045","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae",NA,NA
"336794","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae",NA,NA
"228919","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae",NA,NA
"534649","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae",NA,NA
"141618","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae",NA,NA
"336177","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae",NA,NA
"553899","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae",NA,NA
"178053","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae",NA,NA
"98919","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae",NA,NA
"344070","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae",NA,NA
"245670","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae",NA,NA
"234236","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae",NA,NA
"341843","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae",NA,NA
"339910","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae",NA,NA
"571272","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae",NA,NA
"104211","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae",NA,NA
"579184","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae",NA,NA
"556474","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA
"220761","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA
"207373","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA
"245525","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",NA
"100201","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",NA
"265840","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",NA
"106107","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",NA
"155215","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",NA
"239439","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",NA
"106498","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",NA
"137170","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",NA
"107184","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",NA
"536858","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",NA
"200507","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",NA
"548543","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",NA
"108155","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",NA
"6533","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",NA
"43046","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",NA
"235493","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",NA
"100071","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",NA
"323221","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",NA
"551631","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",NA
"156758","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis","Methyloversatilisuniversalis"
"6749","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",NA
"163176","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",NA
"567753","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",NA
"169725","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",NA
"190625","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",NA
"333442","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis",NA
"277656","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"77638","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"147910","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"356823","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"170831","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"168182","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"240971","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"74235","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"149145","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"143561","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"6792","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"357120","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"537047","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"6783","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"263842","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Thauera","Thauerasp.MZ1T"
"274033","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Thauera",NA
"586984","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Thauera",NA
"265716","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Thauera",NA
"234901","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Thauera",NA
"6750","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"6799","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"147135","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"367951","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azospira",NA
"165690","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azospira",NA
"80896","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"142103","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"107623","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"120677","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"236679","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"576785","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"6692","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"140458","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"104408","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Zoogloea",NA
"540537","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Zoogloea",NA
"555922","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"106422","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"69212","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"131456","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"576674","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"161279","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Dechloromonas",NA
"30390","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Dechloromonas",NA
"203562","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Dechloromonas","Dechloromonasaromatica"
"144181","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Dechloromonas",NA
"551430","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Dechloromonas",NA
"153255","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Dechloromonas",NA
"140097","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Dechloromonas",NA
"570372","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Dechloromonas",NA
"513084","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"511268","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"525767","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"242252","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Rhodocyclus","Rhodocyclustenuis"
"6725","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Rhodocyclus","Rhodocyclustenuis"
"230074","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Rhodocyclus","Rhodocyclustenuis"
"42580","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Rhodocyclus","Rhodocyclustenuis"
"6721","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Rhodocyclus","Rhodocyclustenuis"
"134476","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Rhodocyclus","Rhodocyclustenuis"
"114676","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Rhodocyclus","Rhodocyclustenuis"
"6713","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Rhodocyclus","Rhodocyclustenuis"
"151035","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"208069","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"6673","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azovibrio",NA
"139914","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azovibrio",NA
"278532","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"261745","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"252984","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"102864","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"276290","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"142298","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"404251","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"187854","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"243583","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"510574","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"536176","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"567333","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"205571","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"204943","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"222917","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"243674","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"257753","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"356045","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"216696","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"218239","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"557280","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"537138","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"148449","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"188905","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"240278","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"156101","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"310913","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"576127","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"159590","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"508906","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"217902","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"342642","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"254959","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"232481","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"117907","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"552579","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"256389","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"579423","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"214210","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"106644","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"325942","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"556231","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"564412","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"573582","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"233959","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"512321","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"253630","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"102883","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"541068","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"159597","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"225930","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"572311","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"253509","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"249736","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"551139","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"206124","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"333958","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"534686","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"242049","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"361100","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"533848","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"214749","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"546756","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"557496","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"394416","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"169002","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"352105","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"568985","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"342018","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"557255","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"555446","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"86386","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"419579","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"136009","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"242598","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"131220","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales",NA,NA,NA
"562528","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","Thiobacillus",NA
"138944","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","Thiobacillus","Thiobacillusdenitrificans"
"6772","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"245116","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"145681","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"583038","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"569792","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"539260","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"109305","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"509637","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"562018","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"114743","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"583720","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"110861","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"200484","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"559929","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"99071","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales",NA,NA,NA
"204877","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales",NA,NA,NA
"529615","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales",NA,NA,NA
"551467","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"255137","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"157564","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"224948","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacter",NA
"533198","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacter",NA
"591499","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacter",NA
"202850","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacter",NA
"470759","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacter",NA
"181996","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum",NA
"278562","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"94238","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"313946","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"277795","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"235428","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","Janthinobacteriumsp.Marseille"
"110953","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"105192","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"144767","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"251263","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"587586","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"546154","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"586230","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"303815","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"532409","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"329302","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"139019","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"32294","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"171310","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"202769","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"7288","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"341548","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"563357","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Collimonas",NA
