"","CL3","CC1","SV1","M31Fcsw","M11Fcsw","M31Plmr","M11Plmr","F21Plmr","M31Tong","M11Tong","LMEpi24M","SLEpi20M","AQC1cm","AQC4cm","AQC7cm","NP2","NP3","NP5","TRRsed1","TRRsed2","TRRsed3","TS28","TS29","Even1","Even2","Even3"
"583154",0,111,0,0,0,0,0,0,0,0,0,0,11,6,3,0,0,0,0,0,0,0,0,0,0,0
"228077",32,74,6,0,1,4,348,11,15,78,7963,752,1352,2303,2625,13,52,9,0,2,1,1,5,10,3,5
"536916",0,0,0,0,0,0,0,0,1,5,1111,97,28,12,15,1,0,1,1,0,0,0,0,0,0,1
"551154",0,0,0,0,0,0,0,0,0,0,0,233,2,0,4,0,1,0,0,0,0,0,0,0,0,0
"155812",0,0,1,0,0,0,0,0,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"589010",12,3,0,0,0,0,0,0,0,0,4,20,21,44,38,1,4,1,0,0,0,0,0,0,0,0
"6370",19,121,10,0,0,0,0,0,1,1,77,36,47,127,64,1,0,0,0,1,0,0,0,0,0,0
"519627",0,1,0,0,0,0,0,0,0,0,0,2,156,302,313,0,1,0,0,0,0,0,1,1,0,0
"148066",1,6,2,0,0,0,3,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0
"360483",0,0,0,0,0,226,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"356874",0,0,0,0,0,586,302,10,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"540352",6,1,5,1,3,7439,463,1983,12167,2175,23,7,18,12,4,2,4,25,3,3,1,3,3,15,9,8
"42684",0,0,0,0,0,298,4,196,38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"73021",1,3,1,0,2,12028,161,1547,3796,49,6,4,2,1,1,0,1,11,1,1,0,1,0,4,4,3
"470243",1,0,0,0,0,150,2,197,52,6,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"47990",0,0,0,0,0,80,96,123,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"63985",0,0,0,0,0,4,0,2,105,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"470724",0,0,0,0,0,23,7,491,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"225407",0,0,0,0,0,22,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221384",3,4,0,2,1,12911,105,2768,4931,40,4,4,4,4,2,1,4,16,8,0,0,0,1,3,1,2
"360229",13,23,12,33,27,11532,137,29,540850,2014,113,145,174,84,32,16,83,786,32,31,24,41,32,88,43,47
"6402",0,0,0,0,1,50,4,12,642,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"105593",0,0,0,0,0,14,8,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56599",0,0,1,0,0,162,21,112,19,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72999",0,0,0,0,0,19,10,3,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"536311",11,14,15,13,11,3810,129,11,190356,1096,94,57,99,37,24,5,34,372,14,12,12,30,17,36,20,26
"92601",0,0,0,0,0,0,14,5,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"125235",3,1,1,0,0,1937,95,3866,101,8,6,0,4,6,1,0,5,1,1,1,0,0,1,1,1,0
"92167",0,0,1,1,0,406,0,0,96,17,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1
"22981",0,0,0,0,0,4,1,0,110,1,2,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0
"104026",0,0,0,0,0,1,0,1,25,4,1,0,0,0,1,0,0,1,0,0,1,0,0,2,1,0
"589124",0,0,0,0,0,66,11,14,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"104316",0,0,0,0,0,1,0,10,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"243539",0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144420",14,5,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0
"534652",0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"302050",0,0,0,0,0,0,0,0,0,0,5,17,8,3,1,0,0,0,0,0,0,0,0,0,0,0
"87861",0,1,0,0,0,0,0,0,0,0,46,32,14,0,4,1,0,0,0,0,0,0,0,0,0,1
"151797",0,0,0,0,0,0,0,0,0,0,11,10,5,1,2,0,0,0,0,0,0,0,0,0,0,0
"204179",1,4,1,0,0,0,0,0,0,1,16,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0
"240452",127,175,2,0,0,0,0,0,0,0,8,5,112,332,158,1,1,0,0,0,0,0,0,0,1,0
"200807",4,7,2,0,0,0,0,0,0,1,11,557,3,1,7,0,0,0,0,0,0,0,0,0,0,0
"41200",53,132,6,0,0,0,1,0,1,17,1596,10,19,53,56,0,0,1,0,0,0,0,0,1,1,1
"593511",1,10,1,0,0,0,0,0,0,0,17,1,7,10,9,0,0,0,0,0,0,0,0,0,0,0
"224900",231,335,0,0,0,0,0,0,3,3,5,24,266,584,794,3,1,4,0,0,0,1,1,3,2,0
"194191",0,2,0,0,0,0,0,0,0,0,11,0,4,2,8,0,0,0,0,0,0,0,0,0,0,0
"101392",1,3,2,0,0,0,0,0,0,0,8,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
"234053",0,7,4,0,0,0,0,0,0,1,19,1,37,48,62,0,0,0,0,0,0,0,0,1,0,0
"578293",3,7,0,0,0,0,0,0,0,0,8,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0
"576056",5,15,0,0,0,0,0,0,0,1,40,0,3,8,8,0,0,0,0,0,0,0,0,0,0,0
"164635",0,0,0,0,0,0,0,0,0,0,0,0,6,10,9,0,0,0,0,0,0,0,0,0,0,0
"114209",1,3,0,0,0,0,1,0,0,0,1,1,0,10,2,0,0,0,0,0,0,0,0,0,0,0
"150739",7,15,0,0,0,0,0,0,0,1,48,0,14,24,22,1,2,0,0,0,0,0,0,0,0,0
"509397",0,0,1,0,0,0,0,0,0,0,0,0,1,9,3,0,0,0,0,0,0,0,0,0,0,0
"224259",11,27,3,0,0,1,0,0,1,1,63,3,153,340,327,0,0,0,0,0,0,0,0,3,2,0
"250010",342,2549,219,0,0,1,2,3,3,2,48,11,26,78,166,1,0,1,0,0,0,2,0,6,1,2
"583255",146,867,2,0,0,0,0,0,2,4,123,3,166,254,309,1,0,1,0,0,0,0,0,4,1,0
"277681",42,119,13,1,1,0,1,0,0,7,313,5,26,59,79,0,0,0,0,0,0,0,0,2,1,0
"279065",1,7,1,0,0,1,5,1,0,0,13,1,2,8,11,0,0,1,0,0,0,0,0,0,0,0
"551424",2583,5111,261,3,5,5,3,18,7,216,19920,81,1443,2718,3160,28,7,1,10,4,4,3,3,27,16,8
"220011",1,1,0,0,0,0,0,0,0,0,0,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0
"218017",232,107,0,0,0,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0
"215229",164,19,2,0,0,0,1,0,1,4,75,30,8,9,14,0,0,0,0,0,0,0,0,1,1,0
"222729",573,3125,260,0,0,11,1,3,2,18,936,90,144,287,408,1,0,1,1,1,4,2,2,8,16,1
"285572",3,4,0,1,0,2,0,0,0,1,12,1,81,170,175,1,0,0,0,0,0,0,0,0,0,0
"225073",0,39,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0
"226979",68,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
"222745",30,440,0,0,0,0,0,0,0,0,0,0,1,5,10,0,0,0,0,0,0,0,1,0,1,0
"209903",20,612,4,0,0,0,0,0,0,0,0,0,17,26,35,0,0,0,0,0,0,0,0,0,3,0
"583850",0,4,0,0,0,0,0,0,0,0,0,0,1,9,22,0,0,0,0,0,0,0,0,0,0,0
"267229",23,1558,2,0,0,0,0,4,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,7,0
"210313",2,801,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0
"247235",71,459,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,2,1,0,0,3,4,0
"252485",100,1972,0,0,1,1,0,0,1,0,0,0,5,3,9,0,0,0,0,0,0,0,0,2,3,1
"541147",139,906,1,0,1,0,0,0,0,0,0,1,33,75,128,0,0,0,0,0,0,0,0,2,3,0
"205945",4,30,1,0,0,0,0,0,0,0,0,0,2,20,14,1,0,0,0,0,0,0,0,0,0,0
"101437",30,945,1,0,0,0,0,0,1,0,1,1,2,1,6,0,0,0,0,0,0,0,0,0,3,0
"311995",3,55,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"593905",152,2081,2,1,1,0,1,1,1,1,0,1,329,425,430,2,1,0,0,2,0,0,1,5,5,1
"219174",74,580,85,0,0,19,1,6,2,2,5,19,277,803,948,4,3,1,0,7,0,0,1,5,0,1
"281246",58,616,0,0,0,0,36,0,1,0,0,0,142,182,175,2,0,0,0,0,0,0,0,1,3,0
"579023",11,406,50,0,0,0,6,0,2,0,1,2,561,849,771,7,1,3,0,0,0,0,3,4,0,0
"279993",20,586,26,1,0,0,13,1,8,9,19,31,2715,3452,3649,21,10,4,0,2,1,1,4,18,3,2
"336201",47,133,38,0,0,0,62,0,1,0,0,0,10,17,13,0,0,0,0,0,0,0,0,0,0,0
"514085",1,201,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
"563745",1,5,0,0,1,0,0,0,0,1,1,4,286,411,406,1,3,0,0,0,0,0,1,0,1,0
"168042",46,297,3,1,0,0,0,0,2,4,12,10,1935,2086,2275,18,5,2,1,0,0,1,3,14,2,4
"136641",211,1215,2,0,0,0,0,0,0,0,0,0,2,4,6,0,1,0,0,0,0,0,1,0,5,0
"328181",112,1524,3,2,0,0,0,0,0,0,1,0,7,28,13,0,0,0,0,0,0,0,1,1,2,0
"165384",117,1252,60,3,4,6,1,4,21,11,34,59,6170,9457,8131,52,18,7,0,3,0,3,17,35,9,4
"238426",19,481,3,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,4,0
"235519",93,595,1,0,0,1,13,0,1,0,0,0,158,183,204,1,0,0,0,0,0,0,1,3,1,1
"212958",3,81,0,0,0,0,0,0,0,0,0,0,8,9,21,0,0,0,0,0,0,0,1,0,0,0
"584504",18,544,0,0,0,2,0,0,1,0,0,0,8,21,19,0,0,0,0,0,0,0,0,0,1,0
"589570",1,3,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"513965",0,1,0,0,0,0,0,0,0,0,0,0,2,6,5,0,0,0,0,0,0,0,0,0,0,0
"560895",1,0,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"219106",1,28,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"113247",5,327,27,0,1,0,0,0,0,0,0,0,2,14,11,0,0,0,0,0,0,0,0,0,0,1
"151439",18,914,5,0,0,0,21,0,0,0,0,0,7,7,9,0,0,0,0,0,0,0,0,0,6,0
"223219",27,872,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"222302",6,242,0,1,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,4,0
"227269",2,49,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"36067",5,147,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0
"104916",11,194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"387042",4,4,0,0,0,0,0,0,0,0,0,0,7,9,13,0,0,0,0,0,0,0,0,0,0,0
"256223",206,2319,0,0,0,0,0,0,0,0,0,0,8,11,11,0,1,0,0,0,0,0,0,1,9,0
"113880",6,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"352281",22,103,180,0,0,1,0,0,0,1,0,1,60,50,46,0,0,0,0,0,0,2,0,0,0,0
"224647",34,247,1,0,0,0,11,0,0,0,0,2,23,31,40,0,0,0,0,0,0,0,0,0,0,0
"206488",25,28,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221665",1,100,2,0,1,0,0,0,0,0,0,1,65,178,142,0,0,0,0,0,1,0,0,1,1,0
"21765",0,0,0,0,0,0,0,0,0,0,0,0,3,11,4,0,0,0,0,0,0,0,0,0,0,0
"253948",17,1279,1,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,5,0
"142009",0,11,1,0,0,0,0,0,1,0,0,0,27,38,53,1,0,0,0,0,0,0,0,0,0,0
"110294",1,0,0,0,0,0,0,0,3,1,12,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"157311",26,725,172,0,0,11,1,1,0,1,8,4,120,224,232,3,0,5,0,3,2,0,2,2,3,0
"175927",0,2,1,0,0,1,1,0,0,0,13,37,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"177340",0,0,0,0,0,0,0,0,0,0,4,3,5,6,11,0,1,0,0,0,0,0,0,0,0,0
"264040",5,7,1,0,0,2,3,12,1,2,39,45,65,189,131,3,3,2,0,2,1,1,0,3,1,0
"580735",0,0,0,0,0,0,0,0,0,0,0,0,5,31,13,0,0,0,0,0,0,0,0,0,0,0
"104886",1,3,39,0,0,0,1,0,1,0,2,9,11,27,15,2,1,1,0,0,0,0,0,0,0,0
"125742",7,280,0,0,0,0,1,0,0,0,17,0,7,9,5,0,0,0,0,0,0,0,0,0,0,0
"105146",0,6,0,0,0,0,0,0,1,1,1,1,5,34,14,1,0,4,0,0,0,0,1,0,0,0
"520724",0,1,0,0,0,2,1,0,0,0,0,6,2,5,4,0,16,0,0,0,0,0,0,0,0,0
"104555",2,32,0,0,0,5,2,2,3,5,9,60,553,1562,1396,12,3,1,0,0,1,1,4,4,1,0
"343674",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"114612",14,128,18,17,6,197,88,48,29,16,72,4214,5817,16975,15389,706,380,106,3,6,3,3,15,23,5,5
"537948",0,0,0,0,0,2,0,0,0,0,4,25,11,36,25,9,5,1,0,0,0,0,0,0,0,0
"105727",0,26,1,0,0,0,5,0,0,0,3,13,92,307,307,2,42,4,0,0,0,0,0,0,0,0
"107115",0,0,0,0,0,0,0,0,0,0,0,4,3,5,6,1,2,1,0,0,0,0,0,0,0,0
"250544",19,19,6,13,1,83,38,24,12,9,43,1728,1668,4698,4382,623,261,132,2,2,3,1,4,17,3,0
"202563",2,15,0,0,0,0,1,0,0,0,1,0,58,158,160,0,2,0,0,0,0,0,0,2,0,1
"306546",2,0,1,0,0,0,3,1,0,0,3,17,30,81,59,7,6,3,0,0,2,0,0,0,0,0
"529406",0,0,0,1,0,0,12,0,2,0,1,4,3,5,1,0,0,0,0,0,1,0,1,0,0,0
"156646",0,0,0,0,0,0,0,0,1,2,1,1,1,2,0,0,0,2,0,0,1,0,0,2,0,0
"108436",0,12,0,0,0,71,78,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0
"219027",0,0,0,0,0,0,0,0,0,0,0,1,11,29,22,0,0,0,0,0,0,0,0,0,0,0
"99150",0,4,1,1,1,2,1,0,19,3,364,245,285,1150,1220,35,83,532,2,0,0,0,1,2,0,3
"242585",11,58,1,0,0,0,0,0,3,2,4,14,11,47,25,946,332,318,1,0,1,0,1,2,0,1
"101544",0,0,0,0,0,0,0,0,0,0,13,13,3,0,2,0,0,0,0,0,0,0,0,0,0,0
"354554",0,16,0,0,0,2,0,0,23,2,11,19,50,220,163,531,157,2205,5,0,2,0,0,2,3,2
"107387",3,6,2,1,4,3,10,8,162,15,10,10,207,211,59,6123,20648,14729,32,7,7,9,6,12,9,15
"306270",0,2,4,2,5,2,2,2,16,155,11357,8087,63,26,84,4,5,4,3,2,0,2,1,2,5,7
"264560",0,4,1,0,0,0,1,0,1,2,9,0,1,6,7,0,0,0,0,0,0,0,0,1,0,0
"137279",6,10,0,0,0,0,0,0,2,0,4,6,143,721,772,5,0,0,0,0,0,0,0,1,0,1
"240233",0,13,1,0,0,0,0,8,0,0,0,3,7,33,30,1,1,0,0,0,1,0,0,1,1,0
"74988",1,5,3,1,0,0,1,0,2,0,0,3,2,4,7,0,7,0,0,0,1,0,0,1,2,0
"168285",74,56,0,0,0,2,1,1,2,2,27,664,65,314,348,7,2,1,17,33,45,1,0,1,0,1
"553029",3,5,1,0,0,0,0,0,0,0,5,6,3,21,23,0,1,0,4,1,2,0,0,0,0,0
"257017",0,1,0,0,0,0,0,0,0,0,1,0,0,6,5,0,0,0,0,1,0,0,0,0,0,0
"551992",4,9,5,1,0,1,0,0,2,0,17,213,8,28,30,3,3,2,0,1,4,0,0,0,1,1
"184153",0,2,1,0,0,0,0,0,0,0,0,4,1,2,7,2,0,0,0,0,0,0,0,0,0,0
"158398",0,1,0,0,0,0,1,0,0,0,0,1,1,4,6,1,1,3,0,0,0,0,0,0,0,0
"265614",0,5,5,0,0,0,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"592669",2,23,0,0,0,0,0,0,0,3,2,7,138,606,767,3,1,2,1,0,1,0,0,0,0,1
"69916",1,0,1,0,0,0,0,0,0,0,0,0,2,14,12,0,0,0,0,0,0,0,0,0,0,0
"6540",109,7,35,0,0,0,0,0,0,0,1,0,1,4,3,0,1,0,0,2,0,0,0,0,0,0
"17356",5,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"69852",1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"29792",0,4,47,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
"141903",21,7,0,0,0,9,16,13,0,4,18,1,5,9,20,2,3,2,11,7,21,0,0,0,0,0
"145637",1,57,0,0,0,0,0,0,0,0,1,1,1,11,4,0,0,0,17,16,74,1,1,0,0,0
"137480",0,5,0,1,0,0,1,0,0,0,14,14,183,573,915,5,2,1,0,0,0,0,1,2,0,0
"520149",0,0,0,0,0,0,0,0,0,0,0,0,5,18,14,0,0,0,0,0,0,0,0,0,0,0
"546063",0,0,0,0,0,1,0,0,0,0,0,2,6,37,36,0,0,0,0,0,0,0,0,0,0,0
"576649",1,5,0,0,0,0,0,0,0,0,7,3,8,17,21,0,1,0,0,0,0,0,0,0,0,0
"562874",0,1,0,0,0,0,2,0,0,0,3,0,11,16,21,0,0,0,0,0,0,0,0,0,0,0
"198458",0,7,0,0,0,0,0,0,0,0,2,8,11,24,15,0,41,0,0,0,0,0,0,1,0,0
"540849",3,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0
"528137",6,19,1,0,0,0,0,0,0,1,11,1,27,82,134,0,0,2,0,0,0,0,0,0,0,0
"307219",0,3,1,0,0,1,0,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"143501",2,2,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"535045",0,1,0,0,0,0,1,0,1,0,0,1,3,1,7,0,0,0,0,0,2,0,0,0,0,0
"336794",0,3,1,0,0,1,1,0,0,0,2,0,0,4,5,0,3,0,0,2,0,0,0,0,0,0
"228919",0,0,46,0,0,0,11,0,0,0,9,12,5,2,7,0,0,0,0,0,1,0,0,0,0,0
"534649",4,2,0,1,0,0,0,0,0,0,0,1,13,5,3,0,0,0,0,0,0,0,0,0,0,0
"141618",47,226,1,1,1,1,170,15,0,1,62,56,243,619,1026,6,0,0,0,5,2,0,0,3,2,0
"336177",0,0,0,0,0,0,1,0,0,0,2,2,21,55,41,2,0,0,0,0,0,0,0,0,0,0
"553899",1,0,0,0,0,0,0,0,1,0,12,0,128,252,333,1,0,0,0,0,0,0,2,1,0,0
"178053",1,0,0,0,0,0,1,0,0,0,0,0,0,7,7,0,1,0,0,0,0,0,0,0,0,0
"98919",20,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"344070",0,0,0,0,0,0,0,0,0,0,0,1,3,5,11,0,0,0,0,0,0,0,0,0,0,0
"245670",3,7,0,0,0,0,18,2,0,0,49,10,865,2322,1431,12,3,3,0,1,0,2,3,4,0,0
"234236",1,0,0,0,0,1,0,0,0,0,1,1,32,76,49,0,0,1,0,0,0,0,0,0,0,0
"341843",2,4,0,0,0,0,1,0,0,1,3,27,4,9,6,0,1,0,0,0,0,0,0,0,0,0
"339910",5,3,168,0,0,0,0,0,0,0,0,4,2,3,3,0,0,0,0,0,0,0,0,0,0,1
"571272",1,2,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"104211",1,3,0,0,0,0,0,0,2,0,4,1,5,38,45,0,0,1,0,1,0,1,0,0,0,0
"579184",1,0,0,0,0,0,0,0,0,0,0,8,0,2,3,2,0,1,0,0,0,0,0,0,0,0
"556474",55,57,89,0,0,1,2,1,0,3,53,2,15,50,55,1,1,0,0,0,1,0,0,1,2,1
"220761",61,71,5,0,0,0,0,0,0,0,4,0,9,9,20,0,0,0,0,0,0,0,0,0,0,0
"207373",11,28,3,0,0,0,1,0,0,1,63,4,3,12,13,0,0,0,0,1,8,0,0,0,1,0
"245525",1,11,1,0,1,0,0,0,0,0,2,3,11,59,75,0,0,0,0,0,0,0,0,1,0,0
"100201",5,120,495,0,0,13,49,54,1,0,4,3,16,117,106,0,0,4,2,0,0,0,0,1,1,1
"265840",10,233,2,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0
"106107",0,1,0,0,0,0,0,0,0,0,4,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
"155215",120,92,1,0,0,0,2,2,0,0,6,4,28,58,93,5,1,1,0,2,0,0,0,1,0,0
"239439",6,1,3,0,0,0,1,0,0,0,4,0,19,166,153,1,0,0,21,202,145,0,0,2,2,0
"106498",0,0,0,0,0,0,0,0,0,0,0,0,4,9,8,1,0,0,0,0,0,0,0,0,0,0
"137170",4,9,0,0,1,0,0,0,1,6,126,12,73,308,445,2,0,0,0,0,0,0,0,0,1,0
"107184",3,2,0,0,0,0,1,0,0,0,5,1,4,11,11,0,0,0,0,0,0,0,0,0,0,0
"536858",0,0,0,0,0,0,0,0,0,0,0,0,1,12,3,0,0,0,0,0,0,0,0,0,0,0
"200507",0,3,1,0,0,0,0,0,0,0,2,6,19,91,80,1,1,35,0,0,0,0,0,0,1,0
"548543",0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0
"108155",11,58,11,0,0,1,5,0,0,0,19,8,4,16,17,0,1,0,0,0,0,0,0,0,0,0
"6533",0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,0,0,0,0,0,0,0,0,0,0,0
"43046",0,4,0,0,0,0,0,0,0,0,1,3,89,238,330,2,3,0,0,0,0,0,0,1,0,0
"235493",0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,0,0,0,0,0,0,0,0,1,0,0
"100071",0,0,0,0,0,0,0,0,0,1,2,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0
"323221",0,6,1,0,0,0,0,0,3,4,347,91,65,159,334,3,0,0,0,0,0,1,1,0,0,0
"551631",0,7,2,0,0,0,0,0,0,1,4,8,11,30,30,3,0,1,0,0,0,0,0,0,0,0
"156758",0,0,1,0,0,0,3,0,0,0,46,2,0,1,1,0,3,0,0,0,0,0,0,0,0,0
"6749",0,3,0,0,0,0,0,0,0,0,1,3,93,351,436,3,1,0,0,0,0,0,0,1,0,0
"163176",10,73,100,0,0,0,1,1,2,0,2,26,26,15,53,0,0,0,1,0,0,0,0,1,0,0
"567753",8,62,0,0,0,0,2,0,2,0,8,88,142,495,751,2,3,0,0,1,0,0,0,0,1,0
"169725",122,7,1,0,0,1,22,4,0,0,0,8,0,2,2,0,0,0,10,77,5,0,0,0,0,0
"190625",0,10,1,0,0,0,1,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,1,0,0
"333442",2,1,3,0,0,0,0,0,1,0,1,1,4,22,27,1,0,0,0,1,2,0,0,1,0,0
"277656",4,7,13,0,0,0,0,0,2,0,0,0,0,0,1,8,3,63,0,0,0,0,0,0,0,0
"77638",1,0,0,0,0,0,0,0,0,0,0,0,1,8,7,0,0,0,0,0,0,0,0,0,0,0
"147910",0,1,0,0,0,0,1,0,0,0,2,2,36,210,386,3,1,0,0,0,1,0,0,1,1,0
"356823",13,128,14,0,0,14,6,0,1,0,71,33,120,187,170,0,0,0,0,0,0,0,2,0,0,0
"170831",1,32,1,0,0,0,7,1,0,0,6,5,8,5,9,1,1,0,0,0,0,0,0,1,0,0
"168182",2,2,11,0,0,0,0,0,0,0,77,4,6,8,9,0,0,0,0,0,0,0,0,0,0,0
"240971",2,0,3,0,0,0,3,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0
"74235",0,0,0,8,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,1
"149145",10,42,0,0,0,0,0,0,0,1,0,2,95,58,59,1,0,3,0,0,0,1,0,2,0,1
"143561",152,63,36,0,1,0,13,2,1,18,1034,3,12,37,20,0,1,0,6,54,2,0,0,1,0,0
"6792",14,54,21,0,0,0,0,0,3,0,1,0,0,3,1,17,1,144,0,0,0,0,0,0,0,0
"357120",1,3,10,0,3,1,5,1,0,1,9,13,8,11,19,0,0,0,0,0,0,0,0,0,0,0
"537047",1,6,7,0,0,1,0,1,0,0,1,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0
"6783",1,0,0,0,0,0,9,0,0,0,3,3,79,236,134,3,1,0,0,0,0,0,0,0,0,0
"263842",0,14,0,0,0,0,0,0,0,0,1,1,6,4,5,0,0,0,0,0,0,0,0,0,0,0
"274033",0,7,8,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
"586984",20,67,2,0,0,0,28,1,0,2,51,660,83,112,166,1,1,1,0,1,0,0,1,0,0,0
"265716",24,44,0,1,0,1,2,1,0,1,24,13,80,44,74,1,0,0,0,1,0,0,0,1,1,0
"234901",12,25,1,1,0,2,5,1,2,6,70,40,26,95,78,9,3,4,0,0,0,0,0,0,1,0
"6750",2,1,0,3,25,0,0,0,0,0,4,2,4,18,72,0,2,1,0,0,0,0,0,1,0,0
"6799",0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,0,0,0,0,0,0,0,0,0,0,0
"147135",0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,1,7,1,0,0,0,0,0,0,0,0
"367951",0,0,2,0,0,0,86,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"165690",0,1,1,0,0,0,107,2,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0
"80896",0,3,0,0,0,0,2,0,0,2,23,3,17,43,35,2,3,1,0,0,0,0,0,1,0,0
"142103",0,0,0,0,0,0,0,0,0,0,12,0,8,23,34,0,1,3,0,0,0,0,0,0,0,0
